question,ground_truth,redis_key,source,corpus_chunk_index,hybrid_rrf_hit@10,hybrid_rrf_gold_rank_in_topk,hybrid_rrf_retrieved_redis_keys,dense_top10_redis_keys,bm25_top10_redis_keys
阿格列汀与其他DPP-4抑制剂相比在药物相互作用方面有何优势？,阿格列汀不是CYP450酶的诱导剂或抑制剂，也不是P糖蛋白底物，因此发生药物相互作用的风险低，安全性更好；与多种CYP酶或P糖蛋白底物合用时无需调整剂量，用药更方便。,qwen3:511,中国医学论坛报今日循环,511,0,0,qwen3:470|qwen3:492|qwen3:441|qwen3:496|qwen3:544|qwen3:537|qwen3:497|qwen3:474|qwen3:495|qwen3:455,qwen3:470|qwen3:492|qwen3:496|qwen3:537|qwen3:474|qwen3:455|qwen3:522|qwen3:529|qwen3:548|qwen3:524,qwen3:470|qwen3:441|qwen3:544|qwen3:497|qwen3:495|qwen3:532|qwen3:440|qwen3:541|qwen3:547|qwen3:535
洛伐他汀和吉非罗齐能否联合使用？,洛伐他汀与吉非罗齐合用会增加严重肌肉毒性风险，如肌痛、横纹肌溶解和血肌酸磷酸激酶升高，应尽量避免联合使用。,qwen3:1408,医学资料库,1408,0,0,qwen3:1056|qwen3:571|qwen3:746|qwen3:1248|qwen3:1833|qwen3:1631|qwen3:2915|qwen3:3159|qwen3:408|qwen3:573,qwen3:746|qwen3:1833|qwen3:2915|qwen3:571|qwen3:408|qwen3:1056|qwen3:1613|qwen3:1968|qwen3:1829|qwen3:420,qwen3:1248|qwen3:1631|qwen3:1056|qwen3:3159|qwen3:573|qwen3:1049|qwen3:208|qwen3:572|qwen3:1286|qwen3:571
肠道微生物群如何影响化疗药物CB1954的疗效？,肠道微生物群中广泛表达的细菌硝基还原酶可将CB1954的硝基还原为氨基，从而使其治疗效率增加60%。,qwen3:109,EngineeringForLife,109,1,3,qwen3:110|qwen3:106|qwen3:109|qwen3:111|qwen3:607|qwen3:2700|qwen3:2717|qwen3:107|qwen3:834|qwen3:108,qwen3:110|qwen3:109|qwen3:111|qwen3:106|qwen3:2717|qwen3:607|qwen3:2700|qwen3:615|qwen3:621|qwen3:687,qwen3:106|qwen3:110|qwen3:109|qwen3:111|qwen3:107|qwen3:834|qwen3:108|qwen3:2700|qwen3:607|qwen3:1377
阿莫西林和恩诺沙星能一起使用吗？,阿莫西林与恩诺沙星可以一起使用，但要分开给药，不可置于同一容器中，因为阿莫西林与氨基糖苷类会发生混浊，而恩诺沙星属于喹诺酮类抗菌药物。,qwen3:889,兽药资讯,889,1,3,qwen3:1909|qwen3:3145|qwen3:889|qwen3:2193|qwen3:2521|qwen3:1271|qwen3:2545|qwen3:2764|qwen3:1512|qwen3:2157,qwen3:1909|qwen3:889|qwen3:3145|qwen3:2193|qwen3:2521|qwen3:2545|qwen3:1512|qwen3:2270|qwen3:434|qwen3:2734,qwen3:3145|qwen3:889|qwen3:1909|qwen3:2193|qwen3:1271|qwen3:2764|qwen3:2157|qwen3:2526|qwen3:766|qwen3:774
妊娠期糖尿病患者能否使用二甲双胍？,根据《中国2型糖尿病防治指南（2020版）》，我国尚无二甲双胍孕期应用的适应证，且其说明书注明“妊娠及哺乳期妇女禁用”。胰岛素是治疗妊娠期高血糖的理想药物，不推荐妊娠期单用二甲双胍，如需使用应在胰岛素基础上联合应用，并取得知情同意。,qwen3:2010,有一个药师,2010,1,2,qwen3:2011|qwen3:2010|qwen3:588|qwen3:459|qwen3:1924|qwen3:1925|qwen3:1471|qwen3:1472|qwen3:1149|qwen3:1349,qwen3:2011|qwen3:2010|qwen3:459|qwen3:1925|qwen3:1471|qwen3:1149|qwen3:584|qwen3:1816|qwen3:542|qwen3:588,qwen3:2010|qwen3:2011|qwen3:1924|qwen3:588|qwen3:1472|qwen3:1349|qwen3:2618|qwen3:801|qwen3:241|qwen3:2784
为什么高血压患者不应该在家自行舌下含服硝苯地平来快速降压？,硝苯地平是短效药，舌下含服起效快，会导致血压迅速下降，可能引起心、脑供血不足，出现心慌、头晕等症状，严重时可诱发心肌梗死或脑卒中。降压应平稳进行，不能过快或自行随意用药。,qwen3:1900,慢病界,1900,1,2,qwen3:1901|qwen3:1900|qwen3:1627|qwen3:1902|qwen3:2259|qwen3:359|qwen3:1539|qwen3:361|qwen3:1538|qwen3:302,qwen3:1901|qwen3:1900|qwen3:1627|qwen3:2259|qwen3:1539|qwen3:1538|qwen3:1625|qwen3:2260|qwen3:1626|qwen3:1902,qwen3:1901|qwen3:1900|qwen3:1902|qwen3:359|qwen3:361|qwen3:302|qwen3:481|qwen3:827|qwen3:317|qwen3:1627
服用他汀类药物期间为什么不能吃柚子？,柚子、西柚等柑橘类水果含有呋喃香豆素，可能抑制他汀类药物的分解代谢，导致血药浓度升高，增加副作用风险。因此建议服药前后72小时内避免食用。,qwen3:1820,小郭说健康,1820,1,4,qwen3:1819|qwen3:10|qwen3:9|qwen3:1820|qwen3:311|qwen3:312|qwen3:11|qwen3:1879|qwen3:313|qwen3:2873,qwen3:10|qwen3:1819|qwen3:1820|qwen3:9|qwen3:311|qwen3:1879|qwen3:313|qwen3:312|qwen3:1821|qwen3:874,qwen3:11|qwen3:1819|qwen3:9|qwen3:10|qwen3:1820|qwen3:312|qwen3:311|qwen3:2873|qwen3:2872|qwen3:2404
红霉素与西那卡塞合用会产生什么影响？,红霉素是CYP3A4抑制剂，可抑制西那卡塞的代谢，导致其血药浓度升高及不良反应增加。,qwen3:1511,医脉通泌尿外科,1511,1,2,qwen3:2752|qwen3:1511|qwen3:1257|qwen3:2269|qwen3:2749|qwen3:1680|qwen3:1413|qwen3:2153|qwen3:1460|qwen3:33,qwen3:2752|qwen3:1257|qwen3:2749|qwen3:1413|qwen3:1460|qwen3:414|qwen3:1299|qwen3:2338|qwen3:2751|qwen3:112,qwen3:1511|qwen3:2269|qwen3:1680|qwen3:2153|qwen3:33|qwen3:2154|qwen3:1689|qwen3:389|qwen3:1286|qwen3:2752
在药物-药物相互作用预测中，哪种特征组合在DDIMDL模型中表现最好？,子结构、靶标和酶的组合在这三种特征的组合中表现得最好。使用所有特征并不会比将子结构、靶标和酶结合起来得到更好的结果。,qwen3:87,DrugAI,87,1,1,qwen3:87|qwen3:82|qwen3:223|qwen3:89|qwen3:83|qwen3:85|qwen3:224|qwen3:231|qwen3:228|qwen3:86,qwen3:82|qwen3:89|qwen3:87|qwen3:223|qwen3:224|qwen3:228|qwen3:226|qwen3:186|qwen3:73|qwen3:74,qwen3:87|qwen3:83|qwen3:85|qwen3:82|qwen3:231|qwen3:86|qwen3:77|qwen3:232|qwen3:2971|qwen3:223
这个片段提到了什么内容？,该片段仅包含引导语“戳‘阅读原文’，学习更多临床技能”，未提供具体医学或心血管相关内容。,qwen3:1375,医学界心血管频道,1375,0,0,qwen3:300|qwen3:1689|qwen3:2674|qwen3:2402|qwen3:1810|qwen3:762|qwen3:2742|qwen3:770|qwen3:2475|qwen3:2407,qwen3:300|qwen3:2674|qwen3:1810|qwen3:2742|qwen3:2475|qwen3:706|qwen3:1780|qwen3:1962|qwen3:1846|qwen3:1146,qwen3:1689|qwen3:2402|qwen3:762|qwen3:770|qwen3:2407|qwen3:859|qwen3:2172|qwen3:2406|qwen3:2068|qwen3:2380
中西药联合应用如何通过影响P-糖蛋白（P-gp）来增强化疗药物疗效？,中西药联合应用可抑制P-gp的活性，减少肿瘤细胞对化疗药物的外排，从而增加化疗药物在细胞内的累积量，提高疗效，并有助于逆转肿瘤细胞的耐药性。,qwen3:649,中草药杂志社,649,1,1,qwen3:649|qwen3:636|qwen3:648|qwen3:643|qwen3:1979|qwen3:637|qwen3:473|qwen3:639|qwen3:1978|qwen3:641,qwen3:649|qwen3:636|qwen3:648|qwen3:637|qwen3:1979|qwen3:639|qwen3:641|qwen3:643|qwen3:1040|qwen3:284,qwen3:649|qwen3:648|qwen3:636|qwen3:643|qwen3:473|qwen3:1978|qwen3:1979|qwen3:645|qwen3:1500|qwen3:1549
大环内酯类抗菌药物与卡马西平合用会产生什么相互作用？,大环内酯类（尤其三乙酰竹桃霉素、红霉素、甲红霉素等）会抑制卡马西平的代谢，使其血药浓度升高，出现相应毒副反应。,qwen3:885,养猪管理与技术,885,0,0,qwen3:2337|qwen3:2750|qwen3:1680|qwen3:2339|qwen3:1681|qwen3:2338|qwen3:2749|qwen3:33|qwen3:2748|qwen3:2280,qwen3:2337|qwen3:2339|qwen3:2338|qwen3:2750|qwen3:2748|qwen3:1804|qwen3:2771|qwen3:2835|qwen3:2818|qwen3:2889,qwen3:1680|qwen3:1681|qwen3:2749|qwen3:33|qwen3:2280|qwen3:885|qwen3:2750|qwen3:2337|qwen3:1286|qwen3:2111
在WScore模型中，什么条件下配体-芳香笼相互作用才能获得π-阳离子奖励？,配体的带正电原子必须位于多个蛋白芳香残基（PHE、TRP或TYR）形成的芳香笼中，且该原子最多只能连接一个氢原子；同时，该原子不能与蛋白质形成盐桥，并需被足够的疏水残基包围。,qwen3:3007,钰沐菡,3007,1,1,qwen3:3007|qwen3:3008|qwen3:3006|qwen3:3005|qwen3:16|qwen3:2104|qwen3:13|qwen3:2105|qwen3:1266|qwen3:14,qwen3:3007|qwen3:3008|qwen3:3005|qwen3:3006|qwen3:2105|qwen3:2104|qwen3:13|qwen3:16|qwen3:14|qwen3:2100,qwen3:3007|qwen3:3008|qwen3:3006|qwen3:16|qwen3:3005|qwen3:2104|qwen3:13|qwen3:1266|qwen3:12|qwen3:2724
氟唑帕利与哪些NK-1拮抗剂可以安全合用？,氟唑帕利可以安全使用罗拉匹坦；如必须使用NK-1拮抗剂，推荐优先使用罗拉匹坦，其次为福沙匹坦；不推荐使用阿瑞匹坦和奈妥吡坦，若使用时应适当减量。,qwen3:1318,医会宝肿瘤视界,1318,1,1,qwen3:1318|qwen3:1523|qwen3:1524|qwen3:1951|qwen3:1952|qwen3:731|qwen3:1956|qwen3:1528|qwen3:291|qwen3:1527,qwen3:1318|qwen3:1956|qwen3:1528|qwen3:1524|qwen3:1952|qwen3:1527|qwen3:1955|qwen3:1523|qwen3:1951|qwen3:1788,qwen3:731|qwen3:1318|qwen3:1523|qwen3:1951|qwen3:291|qwen3:1308|qwen3:1786|qwen3:1524|qwen3:1952|qwen3:292
他汀治疗时LDL-C降到1 mmol/L以下该怎么办？,若他汀治疗过程中LDL-C降低至1 mmol/L以下，可考虑减小他汀剂量，但不建议停药。,qwen3:330,丁香园心血管时间,330,1,3,qwen3:327|qwen3:1629|qwen3:330|qwen3:326|qwen3:1630|qwen3:1631|qwen3:329|qwen3:328|qwen3:2010|qwen3:325,qwen3:330|qwen3:1629|qwen3:327|qwen3:1630|qwen3:1631|qwen3:328|qwen3:325|qwen3:2263|qwen3:2265|qwen3:326,qwen3:327|qwen3:1629|qwen3:326|qwen3:330|qwen3:329|qwen3:2010|qwen3:1857|qwen3:827|qwen3:1139|qwen3:2735
服用华法林的患者能否使用咪康唑口腔凝胶？,服用华法林的患者禁用非处方药咪康唑口腔凝胶。如确需使用，应密切监测，出现任何出血迹象应立即停药并就医。,qwen3:2553,药圈网,2553,1,2,qwen3:2555|qwen3:2553|qwen3:2554|qwen3:1667|qwen3:2191|qwen3:2544|qwen3:1934|qwen3:2382|qwen3:1811|qwen3:834,qwen3:2555|qwen3:2554|qwen3:2553|qwen3:2191|qwen3:1667|qwen3:1934|qwen3:1811|qwen3:1935|qwen3:1684|qwen3:1507,qwen3:2553|qwen3:2554|qwen3:2555|qwen3:1667|qwen3:2544|qwen3:2382|qwen3:834|qwen3:107|qwen3:1757|qwen3:317
利托纳韦与利伐沙班合用会产生什么影响？,利托纳韦作为CYP3A4和P-gp强效抑制剂，会显著增加利伐沙班的体内暴露量，使其AUC提高153%，并导致清除率降低近60%。临床案例显示二者合用可能引发严重出血事件，因此应避免合用。,qwen3:1114,凡默谷,1114,1,1,qwen3:1114|qwen3:1116|qwen3:2332|qwen3:2153|qwen3:1966|qwen3:2154|qwen3:420|qwen3:1680|qwen3:408|qwen3:1689,qwen3:1114|qwen3:1116|qwen3:2332|qwen3:1966|qwen3:420|qwen3:408|qwen3:200|qwen3:1965|qwen3:2992|qwen3:1202,qwen3:1114|qwen3:1116|qwen3:2153|qwen3:2154|qwen3:1680|qwen3:1689|qwen3:1115|qwen3:762|qwen3:770|qwen3:1107
利伐沙班与心血管系统药物合用时为何需要考虑CYP2J2这一代谢靶点？,因为CYP2J2是利伐沙班的代谢靶点之一，主要表达在心脏组织，包括心肌细胞和冠状动脉内皮细胞，因此评估其与心血管药物的相互作用时必须考虑该酶的影响。,qwen3:1107,凡默谷,1107,1,1,qwen3:1107|qwen3:1117|qwen3:1113|qwen3:1106|qwen3:1116|qwen3:1105|qwen3:1115|qwen3:1252|qwen3:1114|qwen3:515,qwen3:1107|qwen3:1113|qwen3:1105|qwen3:1117|qwen3:1106|qwen3:1116|qwen3:1114|qwen3:1112|qwen3:2332|qwen3:1115,qwen3:1107|qwen3:1117|qwen3:1106|qwen3:1116|qwen3:1113|qwen3:1252|qwen3:515|qwen3:1105|qwen3:1115|qwen3:1108
氯霉素与环磷酰胺合用会产生什么相互作用？,氯霉素抑制环磷酰胺在肝中的转化，通过对活性代谢产物的抑制而降低环磷酰胺的作用。,qwen3:1342,医学推荐,1342,0,0,qwen3:1424|qwen3:1680|qwen3:2448|qwen3:1286|qwen3:2898|qwen3:33|qwen3:278|qwen3:1689|qwen3:2666|qwen3:2529,qwen3:1424|qwen3:2448|qwen3:2898|qwen3:278|qwen3:2666|qwen3:2649|qwen3:1717|qwen3:1890|qwen3:2640|qwen3:1851,qwen3:1680|qwen3:1286|qwen3:33|qwen3:1689|qwen3:2529|qwen3:2991|qwen3:2153|qwen3:1100|qwen3:389|qwen3:1936
