question_index,question,rrf_rank,rrf_score,redis_key,chunk_id,chunk_index,corpus_chunk_index,source,source_type,retrieval_sources,dense_rank,bm25_rank,content
1,我有胃病现在还能吃布洛芬吗,1,0.029910714285714284,bge_m3:2526,药事网#8,8,2526,药事网,gongzhonghao,dense|sparse,10,4,"！》《第一版，北京刚刚发布》《最权威中医药方来了！》《对乙酰氨基酚 PK 布洛芬》《央视1-布洛芬还能吃吗？》《赵宁对话张文宏,全球直播》《阳性感染者居家康复实用手册》《这张国家开出的药方，请收好！》《布洛芬和对乙酰氨基酚有何区别？》《感染新冠后如何对症服用中成药？》《解析新冠肺炎疫情下的失眠与用药》《疫情期提高免疫力，药物管用吗？》《有“症状”了如何选药？药师来详解》《新冠病毒感染居家治疗简明药物手册》《新冠病毒感染者居家治疗指南》国务院《新冠个人合理用药大全-解放军总医院》《抗击新冠肺炎，营养支持治疗刻不容缓》《新冠肺炎疫情下，如何合理选择祛痰药》《感染奥密克戎后，抗原多久能测出来？》《关于孩子发烧，你需要知道的17个问题》《新型冠状病毒肺炎诊疗方案-试行第九版》《朋友圈疯传的“新冠吃药顺序图”可靠吗？》《转需！孕产妇新冠病毒防护治疗手册来了》《“新十条”出台，居家隔离，你准备好了吗？》《为啥桃罐头必须是黄桃的，别的桃不行吗？》《热搜第一！“阳过”后，千万要警惕这个疾病》《108种！官方发布新冠感染者用药目录-第一版》《连花清瘟和布洛芬能一块吃吗？服用时请间隔》《北京发布新冠病毒感染者用药目录（第一版）》《“我阳了，怎么办？”北大医学专家贴心支招！》《新冠病毒感染者居家治疗简明药物手册-第一版》《儿童新冠小药箱这样配制！儿童发病7日图来了》阳性居家如何自我管理?《新冠自我康复指导手册》 《儿童、成人感染新冠病程图"
1,我有胃病现在还能吃布洛芬吗,2,0.029083245521601686,bge_m3:2419,素食营养师#2,2,2419,素食营养师,gongzhonghao,dense|sparse,5,13,。但过量服用这类止痛药会直接损害肾小管，有肾脏基础病的人更需慎用止痛药；此外一些人吃完这类药物，或出现肾脏过敏现象。长期使用抑制胃酸分泌的药品，也容易引发急性肾衰。这几种药不能过量吃，更不能一起吃。正确服药方法：西药退烧药选用一种即可，对乙酰氨基酚或布洛芬一天内不要使用超过4次。使用布洛芬退烧时，应注意每次间隔6小时，一天用药不超过4次；使用对乙酰氨基酚退烧，若持续发热或疼痛，每4-6小时可重复使用1次，一天用药不超过4次。GOOD退烧药和感冒药不能一起吃布洛芬和其他感冒药04part4北京中医药大学第三附属医院呼吸科主任崔红生教授在接受人民日报健康客户端采访时提醒，退烧药与感冒药尽量不要叠加使用。四川省中西医结合医院内一科主任、副主任医师杨粤峰介绍，重复用药不仅可能没有效果，还可能适得其反：“退烧药，比如说这个对乙酰氨基酚或者布洛芬，它本身就是同一类的，两个一起用的话，不会增加它的用药效果，反而会增加用药之后的副作用。”GOOD西药和中药不要一起吃西药退烧药与中药感冒药尽量不要同服05part5比如吃了连花清瘟、金花清感、宣肺败毒颗粒等药物，就不用再额外服用布洛芬或对乙酰氨基酚了。因为这些中成药本身就有退热的功效。已经出现连吃3天连花清瘟加布洛芬，导致急性肝衰竭的例子：GOOD以下药物组合危险很大请务必注意06part61.藿香正气水+头孢=肝损伤  藿香正气水里面含有酒精，可以和头孢发生相互作用。头孢菌素可抑制酒精代谢，从而造成乙醇蓄积，引起中毒。临床上叫做双硫仑反应。患者可能会出现恶心、呕吐、头晕、头痛，严重时可能还会出现呼吸困难等症状，造成肝损伤，甚至还有可能威胁生命
1,我有胃病现在还能吃布洛芬吗,3,0.025904203323558164,bge_m3:2158,消化界#5,5,2158,消化界,gongzhonghao,dense|sparse,33,6,。上面这只是几个例子。您正在服用药物，与食物和饮料相结合可能会使效果减半，或者它可能过于有效并导致危险。我们建议您仔细阅读使用说明书一次，一些说明书上有提示说明。如果您对如何服药有疑问，请咨询医生或药剂师。 当当当当→_→→_→干货来啦！重点来啦！总结来啦！快来看啊！所以呢，凡碰到需要吃药的情况，最好还是多问一句医生：”服药期间有啥忌口、有啥要注意“，不同专科看病开药时，也得主动提醒医生，下面教给大家一个言简意赅和医生沟通的句式，超实用哦：「现在我因为XX疾病在吃XX药物，和现在开的药不会冲突吧」，这样更便于医生开出合适的、相互作用小的药物。 好啦，今天就到这里！发现没，民以食为天啊，和吃挂钩的都没有小事啊，所以：1. 吃饭（人是铁，饭是钢，一顿不吃饿得慌，而且吃好吃的还会提升幸福感哦）2. 吃药（吃药当然重要了，解决病痛嘛）3. 吃饭＋吃药（那就是今天的科普内容啦，全方位的讲了一下关于食物和药物的纷纷扰扰，我觉得可能用暧昧比较合适呢，哈哈，无非就是食物负了药物（药效降低，影响吸收），以及食物和药物你侬我侬（提高药效，促进吸收）……来源：药酱（公号ID：medi-baby）转自：遂谦的营养小屋关注消化，“肠”想“胃”来！
1,我有胃病现在还能吃布洛芬吗,4,0.02531645569620253,bge_m3:2217,生命时报#0,0,2217,生命时报,gongzhonghao,dense|sparse,19,19,你吃药期间会在意食物的搭配吗？要是没有，那可得注意了，因为有些药物和食物一起服用，严重时可能会有不良反应甚至引起中毒。辽宁省人民医院药剂科主任闫明告诉《生命时报》记者，尤其是在服以下药物时，一定要学会“管住嘴”。　　钙片忌菠菜菠菜含有大量草酸钾，进入体内后电解的草酸根离子会沉淀钙离子，妨碍人体吸收钙，还容易生成草酸钙结石。服钙片前后2小时内不要进食菠菜，如果要吃的话要先将菠菜焯一下再食用。　　止泻药忌牛奶服止泻药不能饮用牛奶，因为牛奶不仅会降低止泻药药效，其含有的乳糖还容易加重腹泻。　　降压药忌西柚因为西柚汁中的柚皮素成分会影响肝脏中某种酶（CYP3A4）的功能，而这种酶与降压药尤其是非洛地平等二氢吡啶类降压药的代谢有关，将造成血液中药物浓度过高，降压作用成倍增长，增加副作用，易引发低血压。　　黄连素忌茶茶水含有鞣质，在体内易被分解成鞣酸，而鞣酸会沉淀黄连素中的生物碱，降低其药效。因此，服用黄连素前后2小时内不宜饮茶。　　阿司匹林忌酒酒在体内先被氧化成乙醛，然后成为乙酸，而阿司匹林会妨碍乙醛氧化成乙酸，造成体内乙醛蓄积，加重发热和全身疼痛等症状，还容易引起肝损伤。　　抗生素忌牛奶、果汁服用抗生素前后2小时不要饮用牛奶或果汁，因为牛奶会降低抗生素活性，使药效无法充分发挥；而果汁（尤其是新鲜果汁）富含的果酸会加速抗生素溶解，不仅降低药效，还可能增加毒副作用。　　布洛芬忌咖啡、可乐布洛芬会刺激胃黏膜，咖啡中的咖啡因和可乐中的古柯碱则会刺激胃酸分泌，加重布洛芬对胃黏膜的副作用，甚至诱发胃出血、胃穿孔。　　抗过敏药忌奶酪、肉制品服抗过敏药期间忌食奶酪、肉制品等富含组氨酸的食物
1,我有胃病现在还能吃布洛芬吗,5,0.023667065549793913,bge_m3:775,临床营养网#13,13,775,临床营养网,gongzhonghao,dense|sparse,49,9,。抗抑郁药，抗焦虑药，阻碍酪胺（面部潮红，头痛等，血压急剧升高）的分解。上面这只是几个例子。您正在服用药物，与食物和饮料相结合可能会使效果减半，或者它可能过于有效并导致危险。我们建议您仔细阅读使用说明书一次，一些说明书上有提示说明。如果您对如何服药有疑问，请咨询医生或药剂师。 当当当当→_→→_→对面的女孩看过来看过来看过来→_→→_→👧👧：我来了，咋滴啦？干货来啦！重点来啦！总结来啦！快来看呢！确实啊，凡碰到要吃药的时候，最好还是问一句医生，服药期间有啥忌口、有啥要注意，不同专科看病开药时，也得主动提醒医生，下面教给大家一个言简意赅和医生沟通的句式，超实用哦：「现在我因为XX疾病在吃XX药物，和现在开的药不会冲突吧」，这样更便于医生开出合适的、相互作用小的药物。 好啦，今天就到这里！发没发现，民以食为天啊，和吃挂钩的都没有小事啊，1.吃饭（人是铁，饭是钢，一顿不吃饿得慌，而且吃好吃的还会提升幸福感哦）2.吃药（吃药当然重要了，解决病痛嘛）3.吃饭＋吃药（那就是今天的科普内容啦，全方位的讲了一下关于食物和药物的纷纷扰扰，我觉得可能用暧昧比较合适呢，哈哈，无非就是食物负了药物（药效降低，影响吸收），以及食物和药物你侬我侬（提高药效，促进吸收）。人才吧，药品科普都能带出对单身狗浓浓的恶意来，哈哈~好了，关于食物与药物的爱恨纠缠就说到这里了╭(╯ε╰)╮，在下告辞！原文标题：食物与药物的纷纷扰扰。《中国临床营养网》编辑部本站动态栏：截止到 2021  年 9 月 19 号上午 8:00 时，本平台关注人数为：289052 名。更多信息点击左下角阅读原文查看。
1,我有胃病现在还能吃布洛芬吗,6,0.023544973544973542,bge_m3:2405,第十一诊室#4,4,2405,第十一诊室,gongzhonghao,dense|sparse,48,10,。比如冠心病双抗血小板的患者，同时存在胃粘膜损伤，甚至胃溃疡、消化道出血等情况，那就需要在众多抑酸药（质子泵抑制剂PPI）中选择相互作用较少的，比如泮托拉唑或雷贝拉唑来服用，而不是奥美拉唑或埃索美拉唑。2009年，迈克尔杰克逊因为丙泊酚中毒导致心脏骤停而死亡，但事实上当时他的私人医生仅仅给迈天王注射了25mg的丙泊酚（通常无痛胃肠镜用的全麻药就是这个，而且这个剂量是在安全范围内的）。那为什么会致命？因为除此之外，杰克逊平常还服用大量抗抑郁药、镇静药等等药物，引发了致命药物间的相互作用……出现这样的结果，可能也就不足为奇了。完总结一下，食物相克不足为信，任他千变万化各种排列组合，我们完全可以一概不信，以此即可一招制敌。然而，但凡碰到要吃药的时候，最好还是问一句医生，服药期间有啥忌口、有啥要注意，不同专科看病开药时，也得主动提醒医生：「现在我因为XX疾病在吃XX药物，和现在开的药不会冲突吧」，这样更便于医生开出合适的、相互作用小的药物。好啦，今天就到这里！觉得有用就动动小手转发、点赞、点 那啥 吧~早安，我爱这个世界。-推荐阅读--更多服务-
1,我有胃病现在还能吃布洛芬吗,7,0.02249747219413549,bge_m3:2157,消化界#4,4,2157,消化界,gongzhonghao,dense|sparse,32,26,。但是除非是大夫嘱咐你用果汁服药，否则不要轻易尝试啊。下面要掏出本子了啊！【葡萄柚汁 ❌抗高血压药，高脂血症治疗药】葡萄柚成分抑制肝脏中的药物代谢并提高药物的血液浓度。 结果，药物太有效鸟（居然有一天会为药物太有效了而发愁），血压可能降低，可能引起头痛和头晕。【可乐 ❌ 解热镇痛药】如果阿司匹林在胃中被碳酸气体酸化，吸收会更差，效果可能会减半。 一些退热药和止痛药复方制剂中，以阿司匹林为主要成分的药不应与可乐一起服用（我再多句嘴，都已经要吃药去退热和止痛了，还要喝可乐吗？能不能安安静静的抱着你的茶壶做一个合格的秃头养生女孩？）【牛奶 ❌ 抗生素，骨质疏松症药物，便秘药物等】为了保护胃，有些人有意识地用牛奶喝药。 对于此项神仙般的操作，我竟无言以对，然而，当饮用抗生素或骨质疏松症的药物会与牛奶，钙和镁结合药物，这会降低疗效。此外，便秘药也容易产生胃部不适等副作用，因此药效会减弱。所以呀，抱紧你的水壶好吗？答应我，因为你会发现，不仅对于吃药它是万能的饮品，而且没有什么是一杯水解决不了的，如果有，那就两杯！【奶酪，鳄梨，红酒，啤酒 ❌ 抗抑郁药】这些个食物我居然只喝的起啤酒么？这些食物含有许多被称为“酪胺”的物质。抗抑郁药，抗焦虑药，阻碍酪胺（面部潮红，头痛等，血压急剧升高）的分解。上面这只是几个例子。您正在服用药物，与食物和饮料相结合可能会使效果减半，或者它可能过于有效并导致危险。我们建议您仔细阅读使用说明书一次，一些说明书上有提示说明。如果您对如何服药有疑问，请咨询医生或药剂师
1,我有胃病现在还能吃布洛芬吗,8,0.02058516196447231,bge_m3:3011,防城港融媒#0,0,3011,防城港融媒,gongzhonghao,dense|sparse,27,50,"﻿﻿点击上方蓝字即可关注我们☀ 本地新闻、生活资讯、便民服务☀吃、住、玩、游、购，乐在防城港☀新闻、资讯、服务，尽在新闻网☀ 爆料建议联系微信号fcg10037492或QQ10037492   原标题：酒后服药可能会要了你的命   酒精和药物相互作用，重者会出现严重毒副作用
	日前，安徽合肥一女子猝死，事后调查发现她酒后服用了缓解疼痛的药物，怀疑死因与此有关。昨日，记者采访了自治区人民医院药学部的药师，了解到酒后服药或
服药后饮酒的确有一定的危险，主要原因是酒精与多种药物混合后，可能因相互作用产生副反应，轻者降低药效，重者会出现严重毒副作用，威胁生命。
	另外，在服用药物的同时饮酒可能会加重疾病的症状或对疾病本身造成负面影响，例如，饮酒会降低血糖水平，导致糖尿病的病情控制不佳。下面，我们从常用药品入手，看看服用哪些药品的同时不能饮酒。酒精＋布洛芬可造成肝脏组织损伤
	据自治区人民医院药学部陈晓宇副主任药师介绍，芬必得的主要成份是布洛芬，而布洛芬是解热镇痛药，用于缓解轻至中度疼痛，如：关节痛、肌肉痛、神经痛、头
痛、偏头痛、牙痛、痛经，也用于普通感冒或流行性感冒引起的发热。服用期间禁止饮酒或含有酒精的饮料，以免增加胃肠道副作用，并有致溃疡的危险。在陈晓宇
看来，少量饮酒，吃芬必得问题应该不是很大，但还是建议用药期间禁止饮酒。
	陈晓宇说，值得注意的是该药对肝脏有损害，这就要说到药物的作用机理。很多药物都是脂溶性的，人体大量的成分是水，药对人体来说是异物，要将这个异物排出"
1,我有胃病现在还能吃布洛芬吗,9,0.01639344262295082,bge_m3:910,内蒙古自治区中医医院药学部#1,1,910,内蒙古自治区中医医院药学部,gongzhonghao,dense,1,,。　　8.布洛芬和咖啡、可乐　布洛芬(芬必得)对胃黏膜有较大刺激性，咖啡中含有的咖啡因及可乐中含有的古柯碱都会刺激胃酸分泌，会加剧布洛芬对胃黏膜的毒副作用，甚至诱发胃出血、胃穿孔。用药禁忌还有很多，大家一定要谨慎用药，详细阅读药品说明书或咨询医师药师。文案：姜    斌审稿：于    蕾编辑：张星星欢迎关注内蒙古中医医院药剂科
1,我有胃病现在还能吃布洛芬吗,10,0.01639344262295082,bge_m3:2406,第十一诊室#5,5,2406,第十一诊室,gongzhonghao,sparse,,1,图片: 黄仔 | 撰稿: 尤闻道 | 责编: 阿月原创文章，未经许可，请勿转载商务合作敬请联系：shangwu@aksorvice.com作为一个天天奋战在临床最前线的消化科大夫，我经常会被问及有关吃的问题，比如：「医生医生，我消化道出血/胰腺炎/肠梗阻/刚做完内镜手术……现在好饿能不能吃点东西啊？」「医生医生，我在吃XXX药，饮食方面要注意些啥啊？」「医生医生，我有冠心病，放过冠脉支架，在吃阿司匹林、波立维双抗，现在胃不舒服，该吃哪种胃药啊？」以及：「儿子，跟你说过多少回了，晚上不要吃水果！空腹不要喝酸奶！菠菜豆腐不能一起吃！豆浆鸡蛋不能一起吃！」「天呐，你不是中午才吃过柿子吗，现在居然在吃阳澄湖大闸蟹，亏你还是学医的！！！」——来自一位医生的妈妈的痛心疾首的呐喊还好，让密探兄稍感欣慰的是，在大多数病人面前，密探兄的话还是被信任的。哦，还有，之前连315晚会上都在打假「食物相克」了，可是俺娘她不看电视呐……咱今天就来聊聊，那么多食物、那么多药物，吃起来究竟相克不相克？需要注意些啥呢？食物VS食物某种食物和某种食物不能一起吃，相信大家从小就听过这个说法，但偶尔忘记不小心吃了，倒也没什么反应……其实吧，对于「食物相克」这个问题我一直挺纳闷的，有人说这是中医博大精深，但这锅让中医背好像不太合情理。你说咱老祖宗生活条件这么差，吃不饱穿不暖的，好像很难再有闲情逸致去研究什么相克不相克，饿起来能有的吃就不错了吧？这听起来更像是民间一知半解者信口开河、以讹传讹流传出来的谣言，比如菠菜豆腐，这个「传说」的理由是认为菠菜中的草酸会结合豆腐中的钙形成不溶性的草酸钙，从而在体内形成结石
